V_BZNO,DEFAULT_YM,IS_RECOVERED,RECOVER_DT,DEFAULT_DT,DSH_RSN_CNT,DSH_RSN_DSC,RECOVER_YM
1000010211,202310,0,,2023-10-25,1,41,
1000010328,202401,0,,2024-01-03,1,41,
1000010362,202301,0,,2023-01-11,1,41,
1000010466,202410,0,,2024-10-04,1,41,
1000010492,202112,0,,2021-12-01,1,41,
1000010535,202207,0,,2022-07-02,1,41,
1000010554,202212,0,,2022-12-12,1,41,
1000010623,202108,1,2021-09-15,2021-08-30,1,41,202109
1000010623,202310,0,,2023-10-06,1,41,
1000010647,202403,0,,2024-03-14,1,41,
1000010654,202411,0,,2024-11-06,1,41,
1000010657,202207,0,,2022-07-01,1,41,
1000010677,202603,0,,2026-03-06,1,41,
1000010730,202402,0,,2024-02-23,1,41,
1000010739,202207,0,,2022-07-11,1,41,
1000010772,202310,0,,2023-10-25,1,10,
1000010799,202403,0,,2024-03-20,1,41,
1000010806,202506,0,,2025-06-26,1,41,
1000010812,202508,0,,2025-08-18,1,41,
1000010815,202309,0,,2023-09-08,1,41,
1000010862,202403,1,2024-03-27,2024-03-23,2,41|50,202403
1000010862,202409,0,,2024-09-04,1,41,
1000010864,202307,0,,2023-07-08,1,40,
1000010877,202602,0,,2026-02-03,1,41,
1000010940,202109,1,2022-06-14,2021-09-29,1,41,202206
1000010975,202408,0,,2024-08-29,1,41,
1000010980,202307,1,2024-04-19,2023-07-08,1,41,202404
1000011031,202403,0,,2024-03-08,1,41,
1000011032,202510,0,,2025-10-10,1,41,
1000011150,202503,0,,2025-03-04,1,41,
1000011182,202409,1,2024-10-30,2024-09-25,1,41,202410
1000011182,202509,0,,2025-09-05,1,41,
1000011256,202603,0,,2026-03-07,1,41,
1000011258,202508,0,,2025-08-01,1,41,
1000011269,202405,1,2024-06-07,2024-05-02,1,41,202406
1000011269,202406,1,2024-07-16,2024-06-10,1,50,202407
1000011269,202507,0,,2025-07-07,1,10,
1000011281,202312,0,,2023-12-15,1,41,
1000011293,202510,0,,2025-10-11,1,41,
1000011303,202512,0,,2025-12-06,1,41,
1000011306,202510,0,,2025-10-20,1,41,
1000011320,202602,0,,2026-02-24,1,41,
1000011323,202505,0,,2025-05-30,1,40,
1000011344,202104,1,2021-07-02,2021-04-07,1,41,202107
1000011344,202303,0,,2023-03-23,1,41,
1000011356,202604,0,,2026-04-06,1,41,
1000011395,202403,1,2024-06-28,2024-03-09,1,41,202406
1000011395,202601,0,,2026-01-09,1,92,
1000011422,202601,0,,2026-01-29,1,41,
1000011612,202409,0,,2024-09-25,1,40,
1000011619,202308,0,,2023-08-24,1,40,
1000011630,202411,0,,2024-11-08,1,41,
1000011708,202312,0,,2023-12-30,1,41,
1000011720,202108,1,2021-08-31,2021-08-20,1,40,202108
1000011720,202112,0,,2021-12-08,1,41,
1000011724,202501,0,,2025-01-25,1,41,
1000011741,202408,0,,2024-08-28,1,41,
1000011782,202503,0,,2025-03-13,1,41,
1000011788,202603,0,,2026-03-21,1,41,
1000011813,202307,1,2023-11-28,2023-07-27,1,41,202311
1000011813,202402,0,,2024-02-15,2,20|50,
1000011848,202604,0,,2026-04-24,1,41,
1000011866,202110,0,,2021-10-19,1,41,
1000011869,202209,0,,2022-09-03,1,41,
1000011871,202603,0,,2026-03-14,1,41,
