V_BZNO|BAS_YM|FC_AM1|LA_INSP_KRW_AM1|FC_AM2|LA_INSP_KRW_AM2|FC_AM3|LA_INSP_KRW_AM3|FC_AM4|LA_INSP_KRW_AM4|LA_INSP_KRW_AM5|
가상_사업자번호|기준년월 |미국_외화|미국_원화|일본_외화|일본_원화|중국_외화|중국_원화|유럽_외화|유럽_원화|계_원화|
1000000179|202212|219111|278|||||737201|996|1274|
1000000179|202312|472347|609|14280000|130|||1091210|1557|2296|
1000000179|202412|305442|449|||||191773|293|742|
1000000180|202112|1228|1|||||||1|
1000000180|202312|||||||||0|
1000000180|202412|||||||||0|
1000000181|202112|||449864040|4634|||||4634|
1000000181|202212|||179583200|1712|||||1712|
1000000181|202312|15088766|19456|131275120|1198|||||20654|
1000000181|202412|15741223|22943|144316800|1351|||||24294|
1000000184|202112|0|1757|||||||1757|
1000000184|202212|0|425|||||||425|
1000000184|202312|0|501|||||||501|
1000000184|202412|0|565|||||||565|
1000000187|202112|11490604|13622|73920000|762|||405000|544|14928|
1000000187|202212|23161551|29353|||||2534259|3424|32777|
1000000187|202312|20402164|26306|||||1153820|1646|27952|
1000000187|202412|29466359|43316|64614000|605|||2762218|4223|48144|
1000000188|202301|||||||||0|
1000000190|202112|4583581|5434|||||||5434|
1000000190|202212|30804978|39039|||||||39039|
1000000190|202312|8986075|11587|||||||11587|
1000000190|202412|3823761|5621|||||||5621|
1000000191|202112|0|1851114|0|1097|||0|164|1852798|
1000000191|202212|0|1406598|||||0|35251|2259898|
1000000191|202312|0|2530416|||||0|37159|2567863|
1000000191|202412|0|2963344|0|6|||0|39936|3003635|
1000000192|202112|22442822|26606|||||||26606|
1000000192|202212|18729032|23736|||||||23736|
1000000192|202312|14528197|18860|||||||18860|
1000000192|202412|3567548|5244|||||||5244|
1000000199|202112|0|7994|||||0|36|8033|
1000000199|202212|0|10911|||||0|74|10987|
1000000199|202312|0|2514|||||0|2|2533|
1000000199|202412|0|3695|||||||3695|
1000000202|202112|0|5976133|0|1092044|||0|1113686|8323265|
1000000202|202212|0|5088198|0|822224|||0|1051277|7076079|
