V_BZNO|LA_XPO_AM_2021_1|DME_AM_2021_1|TOT_SEL_AM_2021_1|LA_XPO_AM_2021_2|DME_AM_2021_2|TOT_SEL_AM_2021_2|LA_XPO_AM_2021_3|DME_AM_2021_3|TOT_SEL_AM_2021_3|LA_XPO_AM_2021_4|DME_AM_2021_4|TOT_SEL_AM_2021_4|LA_XPO_AM_2022_1|DME_AM_2022_1|TOT_SEL_AM_2022_1|LA_XPO_AM_2022_2|DME_AM_2022_2|TOT_SEL_AM_2022_2|LA_XPO_AM_2022_3|DME_AM_2022_3|TOT_SEL_AM_2022_3|LA_XPO_AM_2022_4|DME_AM_2022_4|TOT_SEL_AM_2022_4|LA_XPO_AM_2023_1|DME_AM_2023_1|TOT_SEL_AM_2023_1|LA_XPO_AM_2023_2|DME_AM_2023_2|TOT_SEL_AM_2023_2|LA_XPO_AM_2023_3|DME_AM_2023_3|TOT_SEL_AM_2023_3|LA_XPO_AM_2023_4|DME_AM_2023_4|TOT_SEL_AM_2023_4|LA_XPO_AM_2024_1|DME_AM_2024_1|TOT_SEL_AM_2024_1|LA_XPO_AM_2024_2|DME_AM_2024_2|TOT_SEL_AM_2024_2|LA_XPO_AM_2024_3|DME_AM_2024_3|TOT_SEL_AM_2024_3|LA_XPO_AM_2024_4|DME_AM_2024_4|TOT_SEL_AM_2024_4|LA_XPO_AM_2025_1|DME_AM_2025_1|TOT_SEL_AM_2025_1|LA_XPO_AM_2025_2|DME_AM_2025_2|TOT_SEL_AM_2025_2|LA_XPO_AM_2025_3|DME_AM_2025_3|TOT_SEL_AM_2025_3|LA_XPO_AM_2025_4|DME_AM_2025_4|TOT_SEL_AM_2025_4|
1000023057||||0|1856|1856||||0|7749|7749|0|7749|7749|0|3071|3071|0|5588|5588|0|11831|11831|0|868174|868174|0|5518|5518|0|9008|9008|0|13455|13455|0|1696|1696|0|5696|5696|0|10146|10146|0|14408|14408|0|914|914|0|8525|8525|0|12621|12621|0|17018|17018|
1000023092||||||||||0|2612|2612||||||||||0|4405|4405|||||||||||||||||||||||||||||||||||||
1000023483||||||||||||||||||||||0|32086|32086|||||||||||||||||||||||||||||||||||||
1000023656||||||||||||||||||||||||||||||||||||||||||||||0|1381|1381|||||||||||||
1000024225||||||||||0|6643|6643||||||||||0|7014|7014||||||||||0|6521|6521||||||||||0|14772|14772||||||||||0|14053|14053|
1000024486||||||||||0|2999|2999||||||||||||||||||||||0|4973|4973|||||||||||||||||||||||||
1000015309||||||||||0|117123|117123||||||||||0|87979|87979||||||||||0|114588|114588|||||||||||||||||||||||||
1000025784||||||||||||||||||||||||||||||||||0|42430|42430||||||||||0|8660|8660|||||||||||||
1000025830||||||||||0|3487|3487||||||||||||||||||||||0|676|676|||||||||||||||||||||||||
1000008695||||||||||0|2134|2134||||||||||0|1924|1924||||||||||0|4920|4920|||||||||||||||||||||||||
1000008698|||||||||||||||||||0|186|186|||||||||||||||||||||||||0|3308|3308|||||||||||||
1000018117||||||||||||||||||||||0|4444|4444|||||||||||||||||||||||||||||||||||||
1000025389||||||||||||||||||||||||||||||||||0|507|507|||||||||||||||||||||||||
1000010922||||||||||||||||||||||0|7952|7952||||||||||0|7179|7179||||||||||0|9753|9753|||||||||||||
1000008353||||||||||0|1180|1180||||||||||0|1870|1870||||||||||0|2250|2250|||||||||||||||||||||||||
