V_BZNO|KIS_LS_FNA_MKS_2021|KIS_LS_FNA_MKS_2022|KIS_LS_FNA_MKS_2023|KIS_LS_FNA_MKS_2024|KIS_LS_FNA_MKS_2025|
가상_사업자번호|최종재무평점_2021|최종재무평점_2022|최종재무평점_2023|최종재무평점_2024|최종재무평점_2025|
1000011834||4|9|8|9|
1000011880|4|6||5||
1000011887|8|8|9|9||
1000011947|4|5|5|||
1000011957|5|5|6|4|6|
1000011962|4|4|4|4|5|
1000011967|8|8|8|8|8|
1000011977||8|8|6||
1000011994|4|5|5|4|5|
1000011998|4|4|4|4|5|
1000012012|5|4|5|4|4|
1000012013|9|9|8|10||
1000012062|4|4|3|2|2|
1000012063|7|8||||
1000012093|5|5|5|6||
1000012100|6|8|8|6|8|
1000012113|6|7|8|7|8|
1000012148|8|8|8|8||
1000012164|5|4|4|5|4|
1000012183|8|8|9|8|8|
1000012209|4|4||4||
1000012243|5|5|5|5||
1000012251|6|5|4|||
1000012264|4|4|5|4|4|
1000012277|5|5|5|6|6|
1000012317|6|||8||
1000012342|4|4|4|4|4|
1000012344|5|4|5|5||
1000012360|5|||||
1000012381|6|6|6|6|8|
1000012391|7|8|9|8|8|
1000012394|4|4|4|5||
1000012395|8|8|6|||
1000012417|5|6|7|8||
1000012466|6|7|8|8|6|
1000012481|2|2|2|2|2|
1000012495|3|3|3|3|4|
1000012524|5|||5||
1000012552|4|4|4||4|
1000012575|4|4|4|5|6|
1000012597|9|9|10|9|6|
1000012600|4|5|5|4|4|
1000012625|5|6|6|7|8|
1000012648|6|6|5|7|8|
1000012649|6|6|6|5||
1000012653|4|5|5|5|5|
1000012667|5|5|5|6|6|
1000012672|6|6|8|||
1000012686|6|5|6|7|6|
1000012688|7|5|5||5|
1000012701|3|3|3|3|3|
1000012711|5|4|6|6|8|
1000012731|9|9|9|8||
1000012736|6|6|6|7|6|
1000012744|||7|8||
1000012762|||5||5|
1000012801|||4|4|3|
1000012805|6|7|6|6||
1000012821|5|5|6|5||
1000012836|4|||5||
1000012840|4|4|5|7|7|
1000012851|7|||||
1000012892||||4|4|
1000012901|8|6||6||
1000012973|8|5|5|6|6|
1000012982|4|5|6|5||
1000012995|4|4|5||5|
1000013013|7|6|7|6|6|
1000013025||4|4|4|4|
1000013034|5|5|6|6|6|
1000013052|6|6|||6|
1000013055|4|4|5|6|5|
1000013124|6|6||8||
1000013139|6|7|8|9||
1000013211|5|4|4|5|5|
1000013215|5|8|8|||
1000013230|6|4|5|||
1000013242|5|5|8|7|7|
1000013258|6|5|6|6||
1000013284|6|7|8|7|7|
1000013314|8|8|6|8|6|
1000013319|5|||||
1000013330|8|7|6|7||
1000013338|6|8||||
1000013347|5||4|4||
1000013392|3|3|5|4||
1000013433|4|4|4|4||
1000013439|3|5|5|4|4|
1000013443|5|6|5|6|6|
1000013526|5|5|5|4|5|
1000013527|3|3|3|2|2|
1000013548|4|4|4|5|5|
1000013571|6|9|9|9||
1000013580|||4|4||
1000013590|5|5|5||6|
1000013594|6|5|6|4|4|
1000013618|6|7|6|7|7|
1000013623|3|4|4|4|4|
1000013633|6|8|8|4||
1000013653|8|6|8|6|6|
1000013664|4|4||3|4|
1000013670|5|4|5|5||
1000013682|8|8|7|5|7|
1000013726|||4|||
1000013728|6|9|9|9||
1000013734|3|3|||3|
1000013737||8||6||
1000013751|8|9|8|8||
1000013761|8|8|8|7|6|
1000013786|5|7|5|||
1000013803|4|5|6|5|4|
1000013815||6|8|||
1000013823|7|10|10|9||
1000013833|10|10|10|||
1000013841|7|9||||
1000013842|6|7|6|6||
1000013864|6|9|8|6||
1000013866|3|3|3|3|3|
1000013876|5|6|5|6||
1000013912|6|7|6|7|7|
1000013939|||5|||
1000013945|6|5|5|5|5|
1000013969|4|4|5|5|4|
1000013973|6|7|7|7|7|
1000014014|6|7|6|8|6|
1000014030||||4||
1000014046|5|4|8|8|8|
1000014085|5|6|6|5||
1000014098|5|5|6|9||
1000014126|4|5|5|4|5|
1000014179|4|5|6|6|6|
1000014216|9|8|8|8||
1000014255|4|4|||5|
1000014265|4|5|6|6||
1000014313|4|4||4|6|
1000014323||6|5|||
1000014347||||6|5|
1000014355|6|5|5|6||
1000014372|8|8|8|||
1000014376|6|5|7|5||
1000014390|6|6|5|5|6|
1000014446|4|4|4|4|4|
1000014461|6|6|6|7||
1000014474|5|4||||
1000014482|4|5|4|4|5|
1000014499|5|5|5|||
1000014548|4|||8|8|
1000014550|5|6|6|7|9|
1000014602|4|6|5|5|4|
1000014603|4|4|4|4||
1000014611|6|8|7|10||
1000014626|6||6|6|6|
1000014658|6|6||6|5|
1000014683|5|6|7|6||
1000014685|3|4|4|8||
1000014692|6|5|5|4|5|
1000014701|6|5|6|5||
1000014758|6|5|4|5|5|
1000014780|4|4|5|4|3|
1000014802||7|7|6||
1000014819|5|6|5|6|6|
1000014834|3|4|3|3|3|
1000014838|6|6|7|8|7|
1000014850|5|5|5|6|8|
1000014851|6|6|6|||
1000014916|5|6|8|9|9|
1000014917||6||||
1000014937|||5|6|6|
1000014941|5|4|4||5|
1000014947|4|4|6|6|6|
1000014958||8|7|6|5|
1000014975|6|5|5|5|6|
1000014991|9|5|6|7|6|
