V_BZNO|BASDT1|PERS1|BASDT2|PERS2|BASDT3|PERS3|BASDT4|PERS4|BASDT5|PERS5|BASDT6|PERS6|BASDT7|PERS7|BASDT8|PERS8|BASDT9|PERS9|BASDT10|PERS10|BASDT11|PERS11|
가상_사업자번호|기준일자1|종업원수1|기준일자2|종업원수2|기준일자3|종업원수3|기준일자4|종업원수4|기준일자5|종업원수5|기준일자6|종업원수6|기준일자7|종업원수7|기준일자8|종업원수8|기준일자9|종업원수9|기준일자10|종업원수10|기준일자11|종업원수11|
1000023367|20211231|16|20220511|16|20221231|16|20230511|19|||||||||||||||
1000018873|20210610|10|||||||||||||||||||||
1000000705|20220401|82|20221231|97|20230331|99|||||||||||||||||
1000019002|20211231|16|20220502|17|||||||||||||||||||
1000023519|20210408|108|20210415|110|20211231|105|20221231|101|20230413|101|20231231|101|20240411|103|20241231|99|20250414|109|20251231|110|20260415|108|
1000010164|20251231|113|20260417|111|||||||||||||||||||
1000000797|20211231|8790|20220930|8965|||||||||||||||||||
1000014726|20210614|26|20211231|26|20220616|27|20221231|27|20230612|28|20231231|27|20240618|27|20241231|27|20250618|34|||||
1000008033|20210326|10|20211231|10|20220324|10|20221231|10|20230418|10|20231231|10|20240417|10|20241231|10|20250408|10|20251231|10|20260407|10|
1000018430|20210402|210|20211231|225|20220331|222|20221231|234|20230331|246|20231231|247|20240318|247|20241231|226|20250422|231|20251231|214|20260417|220|
1000015492|20221231|19|20230918|24|20231231|24|20240621|24|20241231|25|20250508|26|20251231|36|20260415|44|||||||
1000024200|20211231|63|20220531|65|20221231|65|20230531|62|20230623|66|20231231|64|20241231|64|20250611|66|||||||
1000005816|20210430|24|20211031|21|20211231|22|20220430|26|20220930|24|20221231|24|20230430|24|20231017|25|20231231|26|20240523|27|20241231|23|
1000015483|20210429|42|20211231|42|20220503|41|20221231|41|20230508|38|20231231|41|20240508|37|20241231|36|20250513|34|20251231|36|20260406|32|
1000018463|20210413|15|20230411|15|20231231|16|20240403|16|20241231|16|20250403|14|20251231|10|20260427|10|||||||
1000011652|20251231|85|20260409|89|||||||||||||||||||
1000001510|20210331|280|20211231|333|20220331|330|20221231|385|20230331|386|20231231|328|20240430|357|20241231|361|20250331|344|20251231|430|20260331|435|
