V_BZNO|1_ST_DT|1_ED_DT|1_CRI_GRDNM|2_ST_DT|2_ED_DT|2_CRI_GRDNM|3_ST_DT|3_ED_DT|3_CRI_GRDNM|4_ST_DT|4_ED_DT|4_CRI_GRDNM|5_ST_DT|5_ED_DT|5_CRI_GRDNM|6_ST_DT|6_ED_DT|6_CRI_GRDNM|7_ST_DT|7_ED_DT|7_CRI_GRDNM|
가상_사업자번호|등급적용시작일자 _2020|등급적용종료일자 _2020|CRI등급_2020|등급적용시작일자 _2021|등급적용종료일자 _2021|CRI등급_2021|등급적용시작일자 _2022|등급적용종료일자 _2022|CRI등급_2022|등급적용시작일자 _2023|등급적용종료일자 _2023|CRI등급_2023|등급적용시작일자 _2024|등급적용종료일자 _2024|CRI등급_2024|등급적용시작일자 _2025|등급적용종료일자 _2025|CRI등급_2025|등급적용시작일자 _2026|등급적용종료일자 _2026|CRI등급_2026|
1000004165|20200515|20210515|B+|20210515|20220518|B+|20220518|20230425|B+|20230425|20240504|BB-|20240504|20250429|B+|20250429|20260430|B-|20260430|20280101|CCC+|
1000004166|20200819|20210821|CCC+|20210821|20220811|B-|20230428|20230503|B-|20230503|20240625|B0|20240625|20250718|B0|20250718|20260425|BB-|20260425|20280101|BB0|
1000004167|20210101|20210305|CCC+|20220909|20221018|BB+|20240215|20240819|BBB0|20250211|20250326|BB+|20250326|20270101|B+|||||||
1000004168|20210127|20210409|BB+|20210409|20220415|BB+|20230813|20230816|BBB-|20230816|20240404|BBB0|20240404|20250426|BBB0|20250426|20260412|BBB+|20260412|20280101|BBB-|
1000004169|20200415|20210421|BBB+|20210421|20220416|BBB+|20220416|20230405|BBB+|20230405|20240329|BBB-|20240329|20250315|BB+|20250315|20260326|BBB+|20260326|20280101|BBB+|
1000004170|20200101|20240906|CCC+|20240906|20250101|B+||||||||||||||||
1000004171|20200428|20210501|BB-|20210501|20220405|BBB+|20220405|20230418|BB-|20230418|20240418|B+|20240418|20250416|B+|20250416|20260327|B+|20260327|20280101|B+|
1000004172|20201021|20220101|BB0|20240907|20241112|BB+|20241112|20250419|BB0|20260218|20260501|BB-|20260501|20280101|BBB-|||||||
1000004173|20200328|20210413|BB+|20210413|20220330|BB-|20220330|20230413|BB-|20230413|20240402|BBB-|20240402|20250327|BB+|20250327|20260331|BBB0|20260331|20280101|BBB0|
1000004174|20150101|20220419|CCC+|20220419|20230416|BB0|20230416|20240518|BB+|20240518|20250412|B-|20250412|20260410|B-|20260410|20280101|B+||||
1000004175|20220101|20220223|CCC+|20230216|20230822|B-|20230822|20241108|CCC0|20241108|20250603|CCC+|20250603|20260503|B-|20260503|20280101|CCC-||||
1000004176|20200411|20210423|BBB0|20220426|20220518|A-|20240101|20240418|CCC+|20240418|20260101|BB+||||||||||
1000004177|20200421|20210420|CCC+|20210420|20220414|CCC+|20220414|20230412|CCC+|20230412|20240515|CCC+|20240515|20250423|CCC+|20250423|20260423|CCC+|20260423|20280101|CCC+|
1000004178|20200704|20210418|A-|20210418|20220419|A0|20220419|20230415|A0|20230415|20240331|BBB0|20240331|20250403|A-|20260113|20260412|A0|20260412|20280101|A-|
1000004179|20200611|20210703|B+|20230101|20230606|CCC+|20240609|20240821|CCC+|20240821|20250621|CCC+|20250621|20270101|CC+|||||||
1000004180|20210409|20210625|A-|20210625|20230101|BBB+|20230101|20250417|CCC+|20250417|20270101|BBB0||||||||||
1000004181|20240222|20240410|BBB-|20240410|20250328|BBB0|20250328|20260318|B+|20260318|20280101|BB-||||||||||
1000004182|20210101|20210424|CCC+|20220421|20220818|B-|20220818|20230414|CCC+|20230414|20250101|BB-||||||||||
1000004184|20210504|20211218|B+|20220420|20221103|BBB-|20230319|20230513|BBB-|20230513|20240510|BB-|20260101|20260314|CCC+|20260314|20270101|BB-||||
1000004185|20210101|20211125|CCC+|20220112|20221124|B-|20221124|20230818|B-|20240829|20241219|B-|20250416|20251118|B+|20260212|20260424|B+|20260424|20280101|B-|
1000004186|20211216|20211225|CCC-|20211225|20220105|CC+|20220105|20230101|C+|||||||||||||
1000004187|20200610|20210505|BB-|20220319|20220918|BB-|20230101|20230517|CCC+|20230517|20240618|BB-|20260203|20260207|CCC0|20260207|20270101|BBB-||||
1000004188|20200403|20210605|BB0|20210605|20220824|B+|20220824|20230822|BB-|20230822|20240508|BB-|20240508|20250523|B+|20260422|20260423|BB0|20260423|20280101|BB-|
1000004189|20200428|20210501|CCC-|20210501|20220422|CCC0|20220422|20230512|CCC0|20230512|20240430|CCC-|20240430|20250416|CCC0|20250416|20260425|CCC+|20260425|20280101|CCC+|
1000004190|20130104|20230512|CCC+|20230512|20250101|BB0||||||||||||||||
1000004191|20201107|20210114|BBB0|20220108|20220916|BBB+|20220916|20240101|BBB0|||||||||||||
1000004192|20200416|20210420|B0|20210420|20220416|BB+|20220416|20230418|BBB-|20230418|20240415|BBB-|20240415|20250419|BB+|20250419|20260430|B0|20260430|20280101|B+|
1000004193|20200917|20210804|BB0|20210804|20220805|BB+|20220805|20230822|B+|20230822|20240619|B+|20240619|20250527|B0|20250527|20260504|B0|20260504|20280101|B+|
1000004194|20200321|20210414|B+|20210414|20220419|B+|20220419|20230402|B+|20230402|20240404|BB-|20240404|20250406|BB-|20250406|20260401|B+|20260401|20280101|BB-|
